contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spread,moneyness
AAPL250620C00135000,2025-06-13 18:58:54+00:00,135.0,61.41,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.4697777642144097
AAPL250620C00140000,2025-06-16 16:55:28+00:00,140.0,57.55,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.41728570120675224
AAPL250620C00145000,2025-06-16 19:21:12+00:00,145.0,53.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.3684137804754849
AAPL250620C00150000,2025-06-16 17:13:45+00:00,150.0,47.62,0.0,0.0,0.0,0.0,22.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.32279998779296876
AAPL250620C00155000,2025-06-16 19:18:54+00:00,155.0,42.94,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.2801290204448085
AAPL250620C00160000,2025-06-16 19:21:12+00:00,160.0,38.15,0.0,0.0,0.0,0.0,52.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.2401249885559082
AAPL250620C00165000,2025-06-16 19:58:25+00:00,165.0,33.2,0.0,0.0,0.0,0.0,13.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.20254544344815342
AAPL250620C00170000,2025-06-16 19:58:22+00:00,170.0,28.25,0.0,0.0,0.0,0.0,28.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.16717645981732537
AAPL250620C00172500,2025-06-16 13:46:06+00:00,172.5,24.69,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.1502608589504076
AAPL250620C00175000,2025-06-16 19:54:30+00:00,175.0,23.3,0.0,0.0,0.0,0.0,74.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.1338285609654018
AAPL250620C00177500,2025-06-16 19:21:12+00:00,177.5,20.85,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.1178591446137764
AAPL250620C00180000,2025-06-16 19:55:00+00:00,180.0,18.45,0.0,0.0,0.0,0.0,200.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.10233332316080729
AAPL250620C00182500,2025-06-16 19:43:16+00:00,182.5,16.0,0.0,0.0,0.0,0.0,55.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.0872328666791524
AAPL250620C00185000,2025-06-16 19:59:35+00:00,185.0,13.5,0.0,0.0,0.0,0.0,410.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.07254053064294763
AAPL250620C00187500,2025-06-16 19:51:07+00:00,187.5,10.95,0.0,0.0,0.0,0.0,410.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.058239990234375
AAPL250620C00190000,2025-06-16 19:58:36+00:00,190.0,8.54,0.0,0.0,0.0,0.0,1708.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.04431577983655428
AAPL250620C00192500,2025-06-16 19:54:50+00:00,192.5,6.3,0.0,0.0,0.0,0.0,1327.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.03075323724127435
